Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Table 4. Real Personal Consumption Expenditures by Major Type of Product (Months),,,,,,,,,
,,,,,,,,,
Line,,2023,2023,2023,2023,2023,2023,2023,2023
Line,,Feb.,March,April,May,June,July r,Aug. r,Sept. p
,"Billions of chained (2017) dollars, seasonally adjusted at annual rates",,,,,,,,
1,Personal consumption expenditures (PCE),15325.5,15295.4,15316.9,15337.4,15376.3,15468.5,15477.4,15536.8
2,Goods,5360.2,5307.2,5336.3,5348.4,5357.2,5403.6,5399.7,5427.7
3,Durable goods,2031.1,1999.5,2012.6,2025.4,2024.6,2051,2050.6,2073.6
4,Nondurable goods,3338.6,3316,3332.3,3332.4,3341.6,3362.5,3359.1,3365.4
5,Services,9993.3,10013.8,10007.3,10016,10045.9,10092.8,10105.1,10137.2
,"Change from preceding period in billions of chained (2017) dollars, seasonally adjusted at annual rates",,,,,,,,
6,Personal consumption expenditures (PCE),8,-30.1,21.5,20.5,38.9,92.1,8.9,59.4
7,Goods,4.5,-53,29.2,12.1,8.8,46.4,-3.9,27.9
8,Durable goods,-5.9,-31.5,13.1,12.7,-0.8,26.4,-0.4,23
9,Nondurable goods,9.8,-22.6,16.3,0,9.2,20.9,-3.4,6.4
10,Services,3.5,20.5,-6.4,8.7,29.9,46.8,12.4,32
,"Percent change from preceding period in chained (2017) dollars, seasonally adjusted at monthly rates",,,,,,,,
11,Personal consumption expenditures (PCE),0.1,-0.2,0.1,0.1,0.3,0.6,0.1,0.4
12,Goods,0.1,-1,0.5,0.2,0.2,0.9,-0.1,0.5
13,Durable goods,-0.3,-1.6,0.7,0.6,0,1.3,0,1.1
14,Nondurable goods,0.3,-0.7,0.5,0,0.3,0.6,-0.1,0.2
15,Services,0,0.2,-0.1,0.1,0.3,0.5,0.1,0.3
p Preliminary,,,,,,,,,
r Revised,,,,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,,,
