Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Table 7. Price Indexes for Personal Consumption Expenditures: Percent Change from Month One Year Ago,,,,,,,,,
Line,,2023,2023,2023,2023,2023,2023,2023,2023
Line,,Feb.,March,April,May,June,July r,Aug. r,Sept. p
1,Personal consumption expenditures (PCE),5.2,4.4,4.4,4,3.2,3.4,3.4,3.4
2,Goods,3.6,2,2.2,1.2,-0.4,-0.2,0.7,0.9
3,Durable goods,0.3,0.4,0.5,0.4,-0.5,-1,-1.9,-2.3
4,Nondurable goods,5.5,2.8,3.1,1.6,-0.3,0.2,2.1,2.7
5,Services,6,5.7,5.6,5.4,5.1,5.3,4.9,4.7
,Addenda:,,,,,,,,
6,PCE excluding food and energy,4.8,4.8,4.8,4.7,4.3,4.3,3.8,3.7
7,Food 1,9.5,7.9,6.9,5.9,4.7,3.7,3.1,2.7
8,Energy goods and services 2,4.3,-7.6,-5.7,-12.3,-17.5,-13,-3.6,0
9,Market-based PCE 3,5.1,4.3,4.3,3.8,2.9,3,3.1,3.3
10,Market-based PCE excluding food and energy 3,4.7,4.7,4.7,4.6,4.1,4,3.5,3.5
p Preliminary,,,,,,,,,
r Revised,,,,,,,,,
"1. Food consists of food and beverages purchased for off-premises consumption; food services, which include purchased meals and beverages, are not classified as food.",,,,,,,,,
2. Consists of gasoline and other energy goods and of electricity and gas services.,,,,,,,,,
"3. Market-based PCE is a supplemental measure that is based on household expenditures for which there are observable price measures. It excludes most imputed transactions (for example, financial services furnished without payment) and the final consumption expenditures of nonprofit institutions serving households.",,,,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,,,
