Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Table 3. Personal Income and Its Disposition, Percent Change from Preceding Period (Months)",,,,,,,,,
Line,,Seasonally adjusted at monthly rates,Seasonally adjusted at monthly rates,Seasonally adjusted at monthly rates,Seasonally adjusted at monthly rates,Seasonally adjusted at monthly rates,Seasonally adjusted at monthly rates,Seasonally adjusted at monthly rates,Seasonally adjusted at monthly rates
Line,,2023,2023,2023,2023,2023,2023,2023,2023
Line,,Feb.,March,April,May,June,July r,Aug. r,Sept. p
,Based on current-dollar measures,,,,,,,,
1,Personal income,0.5,0.5,0.3,0.3,0.2,0.2,0.4,0.3
2,Compensation of employees,0.6,0.5,0.4,0.5,0.5,0.4,0.5,0.4
3,Wages and salaries,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.4
4,Supplements to wages and salaries,0.4,0.4,0.2,0.3,0.4,0.4,0.4,0.4
5,Proprietors' income with inventory valuation and capital consumption adjustments,-0.2,-0.4,0,0,0.5,0.3,0.6,0.4
6,Rental income of persons with capital consumption adjustment,1.6,1.6,0,0,0.1,0.6,0.8,0.7
7,Personal income receipts on assets,0.3,0.8,0.2,0.1,-0.5,0.4,0.5,0.5
8,Personal interest income,0.5,0.5,0.1,0.1,0.1,1,1,1
9,Personal dividend income,0.2,1.2,0.3,0.1,-1.1,-0.2,0.1,0.1
10,Personal current transfer receipts,0.6,0.2,-0.1,0.4,-0.1,-0.6,-0.1,-0.1
11,"Less: Contributions for government social insurance, domestic",0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.3
12,Less: Personal current taxes,-0.1,-0.1,-1.9,-0.6,0.8,2.1,1.5,0.8
13,Equals: Disposable personal income,0.6,0.6,0.5,0.5,0.1,0,0.3,0.3
,Addenda:,,,,,,,,
14,Personal consumption expenditures,0.4,-0.1,0.4,0.2,0.4,0.8,0.4,0.7
15,Goods,0.3,-1.2,0.8,0.1,0.1,0.6,0.7,0.7
16,Durable goods,-0.5,-1.6,0.8,0.9,-0.4,0.6,-0.3,1
17,Nondurable goods,0.7,-1,0.9,-0.3,0.4,0.6,1.3,0.5
18,Services,0.4,0.5,0.3,0.3,0.6,0.9,0.3,0.8
,Based on chained (2017) dollar measures,,,,,,,,
19,Real personal income excluding transfer receipts,0.2,0.4,0,0.2,0.1,0.2,0.1,0.1
20,Real disposable personal income,0.3,0.4,0.2,0.4,0,-0.2,-0.1,-0.1
p Preliminary,,,,,,,,,
r Revised,,,,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,,,
